################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR240,meulières de Grand Gueule,VC,173,113,7,4,27,0.001,11,0.001,1,0.001,5,0.001,0.001,25,L2,2.10560099472475,1.33935245432173,0.0788378612144341,3.34209373894724
JR242,meulières à Vachat,VC,177,93,9,0.001,31,0.001,7,0.001,0.001,0.001,2,0.001,1,8,L2,1.74493625094548,1.16519041805444,-0.0234826956840686,3.20568998215613
JR249,Fayaux 1,Gu,301,0.001,0.001,5,180,0.001,16,6,7,8,3,0.001,0.001,1,L5,3.89793170993955,0.528916799189572,0.0125198128103093,3.15966185810726
JR25,Allinges,VS,165,17,4,2,11,0.001,2,0.001,0.001,0.001,0.001,0.001,1,22,L2,1.92042426121544,1.01322240933055,-0.312394391013138,3.53606953305138
JR250,Fayaux 1,Gu,323,0.001,3,9,360,3,6,2,1,10,0.001,0.001,1,0.001,L5,4.29807536933447,0.46534505671077,0.138351270684143,3.70428107317418
JR251,Fayaux 1,Gu,306,2,5,8,231,2,13,11,1,15,1,0.001,0.001,0.001,L5,3.91211808606212,0.561957068308627,-0.357944886395263,3.30751986451096
JR252a,torrent de Chauffemérande,BM,172,80,6,0.001,60,0.001,4,1,3,1,7,1,1,8,L2,NA,NA,NA,NA
JR252b,torrent de Chauffemérande,BM,270,15,1,8,121,0.001,12,3,3,4,5,1,1,11,L4,NA,NA,NA,NA
JR254,torrent de Chauffemérande,BM,311,2,0.001,0.001,144,0.001,2,11,10,31,6,0.001,0.001,0.001,L5,3.9089663144958,0.625816485214046,-0.377007106623837,3.62742082280612
JR255,torrent de Chauffemérande,BM,330,0.001,1,30,174,5,3,7,9,27,6,3,2,0.001,L5,3.38436014327697,0.603923074387005,0.56953583092929,3.18876397221386
JR256,torrent de Chauffemérande,BM,273,31,0.001,3,130,1,3,1,0.001,7,10,1,0.001,7,L2,2.99745117450721,0.777546384867209,0.484142164235295,3.34825817559679
JR257,les Chaix,BM,288,12,1,12,170,0.001,0.001,1,5,22,5,1,8,3,L4,2.97509796517442,0.728891986705229,0.0853057535175493,2.90237713281516
JR258,les Chaix,BM,298,2,3,0.001,159,1,3,3,9,13,2,6,0.001,0.001,L5,3.01386904083772,0.739943140121903,0.658502960686989,3.52160620721624
JR26,Allinges,VS,299,58,3,5,46,0.001,4,2,1,0.001,0.001,0.001,6,35,L2,1.5887981335643,0.721755534238391,-0.246130198613196,3.6895635942366
JR264,carrière de Saint André,VC,228,96,8,0.001,26,0.001,0.001,0.001,2,0.001,1,0.001,0.001,60,L2,2.07492100363029,0.891627831861523,0.397284148445987,3.50402859963044
JR266,la Chavanne (Burdignin),BS,209,62,7,4,289,0.001,6,4,2,2,17,109,18,5,L4,2.00962364242752,0.970436431065993,0.624315442441534,3.81276989340932
JR267,torrent de Carraz,BS,94,145,3,37,139,0.001,18,3,8,5,0.001,3,2,9,L3,0.495286437159784,1.35304318309319,-0.0528067076240476,1.69667654562197
JR268,torrent de Carraz,BS,296,2,0.001,44,277,4,3,13,5,67,31,0.001,1,0.001,L5,4.02537062644822,0.593141942043215,0.236413012123748,2.90312261368485
JR269,torrent de Carraz,BS,297,2,2,7,180,1,0.001,29,2,8,7,0.001,1,0.001,L5,3.9270349964656,0.613451386780153,0.600774690174057,3.63479119772408
JR270,torrent de Carraz,BS,297,37,10,7,116,0.001,11,6,0.001,3,2,1,1,19,L4,2.59683104559567,0.978706245639986,-1.00014532563395,5.23539439991782
JR271,Burdignin,BS,237,110,10,2,153,1,6,1,1,5,1,2,5,3,L4,3.44120283692842,0.57217527334804,0.161865707358396,2.66075127010165
JR272,carrière de Fillinges 2,VS,309,0.001,0.001,6,279,2,2,23,7,2,6,48,1,0.001,L5,3.35658219660722,0.529250534123127,-0.261801751872962,2.55658571907158
JR273,carrière de Fillinges 2,VS,309,11,9,12,194,0.001,7,3,0.001,5,6,23,4,13,L4,2.28689524764196,0.868862292009631,-0.172423936108686,3.70470166379159
