############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Fillinges quarry 2,,Voirons Sandstone,,,31,96,38,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,38,108,38,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,41,90,38,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,53,104,48,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,59,91,38,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,60,104,38,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,2012-05-17,3,76,28,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,2012-05-17,2a,70,36,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,,lina,100,30,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,,lina,94,30,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,,lina,94,28,bed,,,Voirons,
Grande Gueule quarry,,Vouan Conglomerate,,,lina,94,26,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,11,100,51,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,16,96,60,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,21,105,57,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,28,103,60,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,36,120,62,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,39,101,76,bed,,,Voirons,
